Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Kruhki s pečenim brijem,M. J.,120,25,145,1707,8,1492.06,12.93,41.18,14.07,1.88,0.1,kruhki-s-pecenim-brijem
Preprosta zimska enolončnica,Su.S.,20,140,160,870,4,488.57,11.94,3.33,5.02,0.53,0.05,preprosta-zimska-enoloncnica
Pečeni šampinjoni s kremnim nadevom,M.J.,10,25,35,906,11,725.05,5.66,3.98,14.54,0.61,0.0,peceni-sampinjoni-s-kremnim-nadevom
Rumove lunice (polmeseci),M.J.,60,25,85,1702,10,1611.51,5.33,51.2,16.61,1.25,0.52,rumove-lunice
Marmorni kolač z limeto,Sanja Sirk,40,50,90,1307,10,1440.26,5.12,50.09,13.15,0.5,0.4,bozicni-marmorni-kolac-z-limeto
Piščančje prsi v kremni paradižnikovi omaki,M. J.,10,25,35,1360,4,565.59,11.9,3.75,7.36,0.64,0.0,piscancje-prsi-v-kremni-paradiznikovi-omaki
Losos s špinačo v listnatem testu,M. J.,30,20,50,861,4,1004.33,11.2,25.64,9.31,0.67,0.31,losos-s-spinaco-v-listnatem-testu
Svinjska pečenka v poprovi omaki z grahovim pirejem,Sanja Sirk,10,135,145,1559,4,434.05,8.41,2.69,6.0,0.59,0.0,svinjska-pecenka-v-poprovi-omaki-z-grahovim-pirejem
Mandljevi huzarski krapki z marmelado,M.J.,50,12,62,1176,10,1888.53,6.06,50.77,24.85,1.78,0.36,mandljevi-huzarski-krapki-z-marmelado
Špinačne palačinke z rikoto in lososom,M. J.,10,15,25,1136,4,840.06,14.0,12.82,9.76,2.35,0.12,spinacne-palacinke-z-rikoto-in-dimlenim-lososom
Brstični ohrovt z gorčičnim prelivom,M. J.,10,15,25,731,4,335.01,2.82,9.17,3.7,2.65,0.0,brsticni-ohrovt-s-cesnom-in-gorcico
Cvetačni zrezki z gremolato,M. J.,5,20,25,1167,4,518.15,0.92,4.25,11.09,1.66,0.0,cvetacni-zrezki-z-gremolato
Ovsene rezine z jabolki,M. J.,10,50,60,1347,8,1186.46,3.42,40.7,13.43,2.5,0.13,ovsene-rezine-z-jabolki
Piškoti s kremnim nadevom,Su.S.,40,20,60,914,8,1548.83,6.4,41.84,18.86,0.7,0.26,piskoti-s-kremnim-nadevom
Pečen brstični ohrovt s česnom in limono,M. J.,10,30,40,840,4,306.06,2.78,7.59,3.7,2.78,0.0,pecen-brsticni-ohrovt-s-cesnom-in-limono
Zelenjavna mineštra z jetrnimi cmočki,M. J.,10,40,50,1975,4,622.54,3.16,25.43,2.5,0.92,0.13,zelenjavna-minestra-z-jetrnimi-cmocki
Kokosova rolada brez peke,M. J.,30,0,30,1093,12,1927.15,5.73,61.46,20.2,1.86,0.14,kokosova-rolada-brez-peke
Snežne kepe z orehi in pomarančo,M.J.,20,15,35,783,8,2034.85,5.59,51.51,28.71,1.51,0.22,snezne-kepe-z-orehi-in-pomaranco
Piščančji fileji s kremno špinačno omako,M. J.,5,30,35,1049,4,656.55,15.08,1.4,9.05,0.54,0.0,piscancji-fileji-s-kremno-spinacno-omako
Miklavžev kolač s suhim sadjem,Su.S.,70,30,100,962,8,1339.21,3.03,47.91,14.54,4.5,0.1,miklavzev-kolac-s-suhim-sadjem
Piškoti z domačo mandarinino marmelado,Sanja Sirk,60,40,100,1528,10,1312.19,2.91,38.1,16.3,0.84,0.23,piskoti-z-domaco-mandarinino-marmelado
V pečici pečen losos z brokolijem in čebulo,M. J.,15,16,31,935,4,835.21,17.59,1.39,12.91,0.13,0.76,v-pecici-pecen-losos-z-brokolijem-in-cebulo
Jagnječja obara z žličniki,M. J.,15,70,85,1708,2,751.11,8.94,16.55,7.61,0.71,0.09,jagnjecja-obara-z-zlicniki
Cvetačni polpeti,Su.S.,15,15,30,959,4,519.44,4.91,6.83,7.37,0.96,0.21,cvetacni-ocvrtki-polpeti
Zavitek iz listnatega testa s porom in klobaso,M. J.,20,35,55,1137,4,826.13,6.86,20.96,8.72,0.69,0.11,zavitek-iz-listnatega-testa-s-porom-in-klobaso
Pečene marinirane perutničke in ohrovt s krompirjem,M. J.,15,45,60,1486,2,576.22,6.88,8.48,7.84,1.03,0.0,pecene-marinirane-perutnicke-in-ohrovt-s-krompirjem
Kokosova gnezda z limonino kremo,M. J.,20,40,60,1638,12,1881.46,11.0,37.31,28.87,0.0,3.19,kokosovi-makroni-z-limonino-kremo
Bučni buhteljni z marmelado,Sanja Sirk,90,45,135,1606,12,808.43,5.64,33.59,3.19,1.51,0.22,bucni-buhteljni-z-marmelado
Nachos z mletim mesom; fižolom in sirom,M. J.,10,40,50,1245,6,698.85,8.99,7.32,10.78,1.1,0.0,nachos-z-mletim-mesom-fizolom-in-sirom
Piščanec z rižem in zelenjavo,M. J.,5,60,65,1944,4,707.1,8.04,18.01,6.29,0.6,0.0,piscancja-stegna-in-riz-z-zelenjavo-iz-pecice
Sardele na šavor,Sanja Sirk,15,30,45,1047,4,540.28,12.62,11.74,2.3,0.55,0.0,sardele-na-savor
Rolada s smetano in marmelado,M. J.,25,10,35,1488,6,971.4,7.32,37.53,4.83,0.16,1.09,rolada-s-smetano-in-marmelado
Čokoladna babka (čokoladna pletenica),M. J.,120,45,165,2231,10,1767.78,6.31,50.08,21.01,2.07,0.33,cokoladna-babka
Koruzni kruh iz pekača,M. J.,90,30,120,805,4,1504.57,8.65,74.71,1.44,4.8,0.0,koruzni-kruh-1
Zavite orehove palčke,M. J.,15,10,25,1358,8,1820.46,10.03,36.32,28.75,2.84,0.0,orehove-zavite-palcke-iz-listnatega-testa-z-orehi
Mesne kroglice v beli omaki s kaprami,M. J.,20,35,55,2144,4,985.21,10.58,8.03,16.53,0.38,0.19,nemske-mesne-kroglice-v-beli-omaki-s-kaprami
Damske kaprice,Su.S.,25,55,80,1010,12,1351.77,5.9,42.91,14.59,0.93,0.51,damska-kaprica
Ričet brez mesa,M.J.,10,60,70,1193,4,844.46,6.96,40.29,0.92,9.34,0.0,ricet-brez-mesa-zelenjavni-ricet-jesprenj
Krompir alla carbonara,M.J.,0,75,75,1097,4,757.68,5.43,9.14,12.85,1.2,0.34,krompir-alla-carbonara
Bananin kruh z jabolkom (brez sladkorja),M. J.,15,45,60,954,4,812.99,7.62,30.67,4.95,4.16,0.4,bananin-kruh-z-jabolkom-brez-sladkorja
Gosta enolončnica iz kislega zelja; krompirja in klobase,M. J.,15,30,45,873,6,188.45,1.21,5.61,1.63,0.93,0.0,gosta-enoloncnica-iz-kislega-zelja-krompirja-in-klobase
Svinjski zrezki v smetanovi omaki z rožmarinom,M. J.,5,18,23,1118,4,763.54,18.65,0.18,10.56,0.0,0.0,svinjski-zrezki-v-smetanovi-omaki-z-rozmarinom
Pečena jabolka s skuto; orehi in rozinami,M. J.,12,40,52,1178,6,384.76,3.53,8.15,4.63,0.51,0.07,pecena-jabolka-s-skuto-orehi-in-rozinami
Rahle palačinke z rikoto in limono,M. J.,10,20,30,1297,6,1040.14,9.88,30.69,7.82,0.59,0.59,rahle-palacinke-z-rikoto-in-limono
Fuži s panceto in tartufato,M. J.,5,10,15,781,4,1664.56,12.35,58.01,11.56,2.35,0.2,fuzi-s-panceto-in-tartufato
Dvobarvni kolač s skuto,Su.S.,20,40,60,811,8,895.33,7.94,25.78,7.45,0.49,0.33,dvobarvni-kolac-s-skuto
Kostna juha,T. G.,15,345,360,1171,10,832.91,9.78,6.49,14.03,1.55,0.0,kostna-juha
Sladke mumije,M. J.,30,20,50,1496,12,1403.23,5.48,73.56,1.68,1.83,0.15,sladke-mumije-za-noc-carovnic
Kremna zelenjavna juha s tortelini,M. J.,10,30,40,1264,6,938.39,5.98,35.1,5.41,1.96,0.0,kremna-zelenjavna-juha-s-tortelini
Nemška makova pita,M. J.,30,70,100,1523,12,1584.94,7.71,43.12,18.94,2.77,0.22,nemska-makova-pita
Mini marmeladni žepki,Sanja Sirk,45,15,60,1180,8,1790.33,6.12,40.02,27.15,3.11,0.21,mini-marmeladni-zepki
Testenine z vodko,M. J.,5,20,25,1037,4,1356.37,11.33,47.22,7.27,2.03,0.0,testenine-z-vodko
Čokoladno-kostanjeva torta brez peke,Su.S.,30,0,30,858,8,1399.46,1.95,38.39,18.51,1.72,0.11,cokoladno-kostanjeva-torta-brez-peke
Italijanska pita z vanilijevo kremo in pinjolami,M. J.,75,55,130,2514,12,1752.47,6.25,43.01,23.97,1.04,0.76,italijanska-pita-z-vanilijevo-kremo-in-pinjolami
Krompirjevi kroketi s sirom,Su.S.,30,4,34,818,4,1033.16,8.38,25.13,11.62,2.34,0.09,krompirjevi-kroketi-s-sirom
Gratinirana buča,M. J.,10,50,60,1025,4,260.75,4.2,5.81,2.41,0.0,0.0,gratinirana-buca
Enolončnica iz mletega mesa in krompirja,M. J.,10,50,60,1046,4,486.52,4.23,11.61,5.34,1.51,0.0,krompirjeva-enoloncnica-z-mletim-mesom
Krompirjeve polpete s kislo smetano,M. J.,15,20,35,1015,4,365.47,2.14,11.57,2.86,1.5,0.14,krompirjeve-polpete-s-kislo-smetano
Hrenovke v testu malo drugače,Sanja Sirk,10,15,25,1226,16,1270.39,10.12,20.49,18.51,1.11,0.12,hrenovke-v-testu-malo-drugace
Bananin kruh z drožmi,Su.S.,10,60,70,597,6,992.24,8.12,46.9,1.98,3.59,0.19,bananin-kruh-z-drozmi
Puhaste jabolčne palačinke,M.J.,15,20,35,1015,4,662.95,4.55,29.49,1.33,0.67,0.22,puhaste-jabolcne-palacinke
Piščančje prsi z gobovim nadevom,Su.S.,25,15,40,847,4,877.55,12.62,6.76,14.25,1.08,0.09,piscancje-prsi-z-gobovim-nadevom-in-hrustljavo-skorjico
Hitre skutine bombice,Su.S.,15,20,35,747,8,983.62,10.24,32.66,5.44,0.81,0.16,hitre-skutine-bombice
Nočna ovsena kaša z okusom jabolčne pite,M. J.,15,0,15,639,3,803.62,2.27,9.5,16.38,2.53,0.0,nocna-ovsena-kasa-z-okusom-jabolcne-pite
Pita z rikoto in jabolki,M. J.,75,55,130,2210,8,1111.44,6.06,28.67,13.25,0.75,0.22,pita-z-rikoto-in-jabolki
V pečici pečene mesne kroglice s krompirjem,M. J.,15,70,85,1067,4,619.52,6.46,12.69,7.23,1.38,0.06,v-pecici-pecene-mesne-kroglice-in-krompir
Testeninske rožice,Su.S.,20,40,60,1215,4,1347.75,11.56,21.45,20.04,0.64,0.0,testeninske-rozice
Pohane marele (dežnikarice po dunajsko),T.D.,15,15,30,893,4,858.18,11.16,22.1,6.01,0.86,0.86,ocvrte-orjaske-deznikarice
Narastek z zeljem,M. J.,15,55,70,922,4,654.75,4.78,5.02,12.11,1.04,0.48,narastek-z-zeljem
Preprosta sladica iz zdroba in piškotov,M. J.,20,10,30,1049,8,930.81,5.99,36.3,5.09,1.27,0.53,preprosta-sladica-iz-zdroba-in-piskotov
Piščančja bedra z rižem v pečici,Sanja Sirk,10,70,80,716,4,907.89,9.11,25.6,7.52,0.58,0.0,piscancja-bedra-z-rizem-v-pecici
Lečina mineštra s testeninami,M. J.,10,35,45,772,4,970.81,10.21,29.18,7.69,8.82,0.13,lecina-minestra-s-testeninami
Humus iz belega fižola,M. J.,10,0,10,895,4,1100.31,10.5,23.28,14.15,5.02,0.0,humus-iz-belega-fizola
Zloženka iz buče; mesne omake in rikote,S. S.,15,70,85,1392,4,584.8,8.26,3.43,9.75,0.16,0.06,zlozenka-iz-buce-mesne-omake-in-rikote
Rafaelo kocke brez peke,Su.S.,30,5,35,1317,12,1895.85,9.11,33.35,31.49,2.74,0.0,rafaelo-kocke-brez-peke
Sočna čokoladna torta brez moke,Su.S.,25,25,50,993,8,1735.36,5.0,46.57,22.88,3.47,0.51,socna-cokoladna-torta-brez-moke
Prosena kaša z grškim jogurtom in karameliziranimi jabolki,M. J.,10,20,30,1089,4,465.05,2.5,10.15,6.33,0.62,0.39,prosena-kasa-z-grskim-jogurtom-in-karameliziranimi-jabolki
Ajdovo pecivo z lešniki; cimetom in sadjem,M. J.,12,50,62,1197,8,1128.42,5.12,24.76,17.08,2.42,0.43,ajdovo-pecivo-z-lesniki-cimetom-in-sadjem
Pečeno mleto meso s česnovo bageto,M.J.,10,55,65,922,4,865.5,10.82,8.42,13.72,0.64,0.07,peceno-mleto-meso-s-cesnovo-bageto
Slivova marmelada,M.J.,50,90,140,1059,8,549.15,0.0,33.0,0.0,0.75,0.0,slivova-marmelada
Hitri chili z mletim mesom,M.J.,10,20,30,919,4,584.09,7.62,9.51,7.51,1.89,0.0,hitri-cili-z-mletim-mesom
Sočno čokoladno pecivo z marmelado,Su.S.,10,30,40,844,12,1654.1,4.0,61.45,15.31,2.17,0.11,socno-cokoladno-pecivo-z-marmelado
Domači njoki z omako iz svežega paradižnika,M. J.,45,45,90,2632,6,295.22,2.41,11.08,1.04,1.31,0.03,domaci-njoki-s-paradiznikovo-omako
Rižota z ječmenom in govedino,T. G.,10,55,65,1336,4,568.69,9.23,17.03,2.86,3.18,0.0,rizota-z-jecmenom-in-govedino
Čokoladno-skutino pecivo z višnjami,M. J.,45,50,95,1157,10,1219.3,7.9,36.91,11.51,0.9,0.4,cokoladno-skutino-pecivo-z-visnkami
Zelenjavna zloženka s sirom,Su.S.,10,50,60,1263,4,353.76,5.76,6.3,3.58,1.03,0.0,zelenjavna-zlozenka-s-sirom
Pita z mandljevo kremo in slivami,M. J.,75,45,120,1956,10,1159.22,4.14,27.76,16.23,1.29,0.28,pita-s-frangipanom-in-slivami
Svinjski zrezki v hrustljavi parmezanovi skorjici,M. J.,35,12,47,1009,4,931.19,19.32,15.39,7.64,0.85,0.21,svinjski-zrezki-v-hrustljavi-parmezanovi-skorjici
Bučkine rolice z bulgurjem in mesom,Sanja Sirk,20,55,75,996,4,605.51,7.96,12.7,6.71,2.89,0.0,buckine-rolice-z-bulgurjem
Karameliziran carski praženec (šmorn),T. G.,10,25,35,1312,4,1156.37,9.6,36.38,8.59,0.67,0.84,karameliziran-carski-prazenec-cesarski-prazenec-smorn
Zapečeni njoki s piščancem; gobami in smetano,M. J.,10,30,40,1259,4,608.56,9.1,6.6,8.4,0.9,0.0,zapeceni-njoki-s-piscancem-gobami-in-smetano
Polnjene polovičke paprik v omaki,Sanja Sirk,20,70,90,739,4,627.18,7.27,10.15,8.25,0.2,0.07,filane-paprike-polnjene-paprike-polnjene-polovicke-paprik-v-omaki
Torta tenerina,M. J.,10,30,40,1550,8,1690.63,5.35,43.1,22.68,2.11,0.7,totra-tenerina
Hitra paradižnikova pita z listnatim testom,M. J.,15,20,35,1322,6,635.51,2.56,14.1,8.81,0.79,0.0,hitra-paradiznikova-pita-z-listnatim-testom
Piščanec in krompir iz ene ponve,Su.S.,10,25,35,886,4,744.71,7.89,9.14,11.71,1.0,0.0,piscanec-in-krompir-iz-ene-ponve
Vložene paprike za ozimnico,Sanja Sirk,30,0,30,1210,10,133.89,0.09,5.93,0.0,1.8,0.0,vlozene-paprike-za-ozimnico
Zapečen krompir z bučkami,M. J.,15,55,70,1174,4,537.77,2.6,8.29,9.0,1.05,0.0,zapecen-krompir-z-buckami
Kolač s slivami in beljakovim pokrovom,M. J.,15,45,60,2007,9,1044.16,2.58,35.09,10.57,0.53,0.27,kolac-s-slivami-in-beljakovim-pokrovom
Hitre testenine iz ene ponve,Su.S.,5,15,20,673,3,1598.29,12.98,56.84,9.81,2.02,0.0,hitre-testenine-iz-ene-ponve
Slivovi cmoki iz skutnega testa,K.I.,50,10,60,1253,4,1390.22,6.6,39.49,16.26,1.34,0.24,slivovi-cmoki-iz-skutnega-testa
Listnati trikotniki s špinačo in feto,M. J.,15,30,45,1392,4,889.02,7.82,23.46,8.42,0.75,0.15,listnati-trikotniki-s-spinaco-in-feto
Kolač z limonino kremo in sadjem,M. J.,15,40,55,2155,10,1167.0,5.17,45.44,7.54,0.67,0.56,jagodno-pecivo-z-vanilijevo-kremo-in-jagodami
Turška umešana jajca z zelenjavo (menemen),M. J.,10,20,30,1103,2,260.96,2.7,2.94,3.58,0.72,0.4,turska-umesana-jajca-z-zelenjavo-menemen
Bučkini ocvrtki s feto,M. J.,45,20,65,1304,6,476.06,5.67,12.45,3.83,1.18,0.15,buckini-ocvrtki-s-feto
Jutranji breskov drobljenec (crumble),M. J.,5,30,35,1260,3,830.61,4.43,21.55,12.4,3.84,0.0,jutranji-breskov-drobljenec-crumble
Slivovo pecivo s skuto in zdrobom,M. J.,30,50,80,1589,8,719.98,8.11,20.55,5.69,1.42,0.28,slivovo-pecivo-s-skuto-in-zdrobom
Boranja z govedino in krompirjem,M.J.,15,115,130,916,4,326.69,4.88,8.42,2.09,1.54,0.0,boranja-z-govedino-in-krompirjem
Žarbo kocke,M. J.,50,30,80,1917,12,1913.39,6.46,47.19,26.97,2.34,0.14,zarbo-kocke
Etonska zmešnjava z malinami,M.J.,12,5,17,857,4,1436.03,19.87,15.58,20.95,0.0,0.0,etonska-zmesnjava-z-malinami
Kuhan stročji fižol in krompir v paradižnikovi omaki,M. J.,15,45,60,1412,4,156.31,0.75,7.97,0.0,2.17,0.0,kuhan-strocji-fizol-in-krompir-v-paradiznikovi-omaki
Sardele s solato iz kumar in avokada,Su.S.,17,8,25,725,4,430.16,7.77,2.86,5.91,0.75,0.0,sardele-s-kumaricno-solato-z-avokadom
Limonin mousse,Su. S.,15,5,20,813,4,1775.1,4.38,52.54,21.45,0.0,1.31,limonin-mousse-1
Njoki z domačim pestom,M. J.,10,15,25,908,4,652.91,5.77,13.07,8.36,2.28,0.0,njoki-z-domacim-pestom
Obrnjena rolada z ribezom in kislo smetano,Sanja Sirk,15,30,45,1318,10,739.27,5.53,22.44,6.65,1.37,0.44,obrnjena-rolada-z-ribezom-in-kislo-smetano
Sočno pecivo s kokosom,M. J.,45,45,90,1753,12,922.32,8.35,28.63,7.0,0.27,0.63,socno-pecivo-s-kokosom
Svinjski zrezki z omako pizzaiola,M. J.,10,20,30,1033,4,615.42,8.4,1.84,10.67,0.49,0.0,svinjski-zrezki-z-omako-pizzaiola-1
Juha iz stročjega fižola,T.D.,15,30,45,977,4,275.85,1.2,7.62,3.21,2.14,0.0,juha-iz-strocjega-fizola
Pečeni jajčevci s paradižnikom in sirom,M. J.,10,35,45,1119,4,412.96,6.48,5.83,5.08,1.62,0.0,peceni-jajcevci-s-paradiznikom-in-sirom
Bananine kocke,M.J.,30,25,55,2108,8,993.7,4.67,25.85,12.41,1.22,0.69,bananine-kocke
Listnata pita z mocarelo; jajci in češnjevci,M. J.,10,25,35,652,4,841.28,10.74,17.52,8.99,1.52,0.38,pica-iz-listnatega-testa-z-mocarelo-in-cesnjevci
Fit solata s piščancem in kvinojo,M. J.,10,30,40,1728,4,491.83,8.86,10.27,3.82,1.27,0.0,fit-solata-s-piscancem-in-kvinojo
Bučkin narastek s kruhom,M. J.,30,45,75,1266,4,996.5,8.47,15.5,14.89,1.12,0.2,buckin-narastek-s-kruhom
Flambirane marelice z mascarpone sirom in sladoledom,Sanja Sirk,5,15,20,969,4,678.31,3.06,19.64,7.66,1.67,0.0,flambirane-marelice-z-mascarpone-sirom-in-sladoledom
Skutine rezine z malinami (brez peke),Su.S.,45,0,45,1443,12,899.89,12.18,20.96,8.92,2.97,0.0,skutine-rezine-z-malinami-brez-peke
Quesadilla (prepognjena tortilja) z zelenjavo in sirom,M. J.,10,20,30,1435,4,913.2,9.28,13.47,13.77,1.05,0.0,quesadilla-preporgnjena-tortilja-z-zelenjavo-in-sirom
Piščančji fileji s češnjevimi paradižniki in parmezanom,M. J.,8,22,30,1055,4,617.85,13.64,1.32,8.76,0.47,0.0,piscancji-fileji-s-cesnjevimi-paradizniki-in-parmezanom
Piña colada kocke brez peke,Su.S.,30,10,40,985,12,1264.03,4.14,35.43,15.56,1.06,0.06,pina-colada-kocke-brez-peke
Hitro pecivo s kislo smetano in borovnicami,M. J.,15,30,45,1456,6,838.64,4.79,33.28,4.35,0.87,0.29,hitro-pecivo-s-kislo-smetano-in-borovnicami-borovnicevo-pecivo-s-kislo-smetano
Kremna kumarčina juha s krompirjem,Sanja Sirk,10,40,50,734,4,168.24,0.6,8.04,0.0,0.87,0.0,kremna-kumaricna-juha-s-krompirjem
Sadne sladoledne lučke,M.J.,435,0,435,1523,10,307.27,0.36,16.24,0.55,1.28,0.0,sadne-sladoledne-lucke
Telečji zrezki z bučkami; paradižnikom in mocarelo,M.J.,7,19,26,869,4,523.79,12.72,1.33,6.82,0.42,0.0,telecji-zrezki-z-buckami-paradiznikom-in-mocarelo
Koruzna zlivanka z bučkami in korenčkom,Sanja Sirk,10,35,45,612,6,650.82,6.21,17.26,6.02,1.49,0.37,koruzna-zlivanka-z-buckami-in-korenckom
Vanilijeva panakota z marelično kremo,M. J.,30,10,40,1549,8,483.84,1.55,27.85,0.0,1.78,0.0,vanilijeva-panakota-z-marelicno-kremo
Hrustljav krompir in mesne kroglice iz pečice,M. J.,10,50,60,1350,4,716.76,7.49,10.18,10.46,1.13,0.07,hrustljav-krompir-in-mesne-kroglice-iz-pecice
Klafuti (clafoutis) z marelicami,M. J.,12,55,67,993,6,614.0,3.04,24.3,2.92,1.21,0.24,clafoutis-z-marelicami
Zamrznjene jogurtove ovsene rezine,Su.S.,10,3,13,987,8,1357.16,11.2,38.83,17.92,7.47,0.0,zamrznjene-jogurtove-ovsene-rezine
Piščanec s krompirjem in paradižniki v pekaču,M. J.,10,60,70,1195,4,440.83,7.0,8.28,4.06,1.15,0.0,piscanec-s-krompirjem-in-paradizniki-v-pekacu
Smetanov sladoled z Nutello (brez strojčka),M. J.,15,0,15,955,6,1755.36,7.36,22.76,32.87,1.15,1.95,smetanov-sladoled-z-nutello-brez-strojcka
Hitra solata tabule s kuskusom,M. J.,25,0,25,1156,4,385.18,1.59,12.61,3.18,0.95,0.0,hitra-solata-tabule-s-kuskusom
Zarezan piščančji file z zelenjavo in sirom,M. J.,15,25,40,1141,4,701.49,13.93,2.07,10.74,0.28,0.0,zarezan-piscancji-file-z-zelenjavo-in-sirom
Tunin tatar s peno iz limete in rožmarina; zeliščna polenta; ocvrte sardele,Luka Novak,30,10,40,1460,3,581.41,9.57,17.39,2.78,1.74,0.35,masterchef-tunin-tatar-s-peno-iz-limete-in-rozmarina-zeliscna-polenta-ocvrte-sardele
Svinjska potrebuševina; koruzni žganci; jabolko; zelena,Evita Antončič,20,30,50,566,6,953.99,5.76,13.09,16.06,1.15,0.66,masterchef-svinjska-potrebusevina-koruzni-zganci-jabolko-zelena
Pečene račje prsi; ganaš iz gosjih jeter; glazirana hobotnica; krompirjev savarin; omaka z višnjami,Evita Antončič,60,60,120,1277,3,621.49,10.65,8.24,7.36,0.73,0.18,masterchef-pecena-racja-prsa-ganas-iz-gosjih-jeter-glazirana-hobotnica-krompirjev-savarin-omaka-z-visnjami
Popečena grdobina; majoneza iz avokada in bazilike; krompir iz fonda; flambirane fige; česnova čipka,Luka Novak,60,30,90,2098,3,547.23,2.62,12.7,6.77,1.61,0.25,masterchef-popecena-grdobina-majoneza-iz-avokada-in-bazilike-krompir-iz-fonda-flambirane-fige-cesnova-cipka
Hrustljave bučkine palčke,M. J.,20,25,45,857,4,584.8,7.51,16.22,3.7,1.07,0.24,hrustljave-buckine-palcke
Ledene kocke z gozdnimi sadeži,Su.S.,60,45,105,1504,12,1312.9,4.41,43.48,13.1,1.66,0.22,ledene-kocke-z-gozdnimi-sadezi
Blitvina kremna juha s krompirjem,M. J.,10,15,25,1054,4,181.88,0.99,8.89,0.0,1.43,0.0,blitvina-kremna-juha-s-krompirjem
Kremna prosena kaša s čokolado in oreščki,M. J.,5,20,25,734,4,843.45,5.74,18.52,11.35,2.57,0.68,kremna-prosena-kasa-s-cokolado-in-orescki
Čokoladni kolač z banano,M. J.,15,60,75,1250,8,1496.16,6.05,39.59,19.21,3.4,0.53,cokoladni-kolac-z-banano
Češnjeva galeta,M. J.,45,30,75,1703,8,1316.7,4.59,37.89,14.95,1.02,0.34,cesnjeva-galeta
Tiramisu s kremo brez jajc,M.J.,30,0,30,997,6,1591.84,6.37,43.47,19.1,1.64,0.0,tiramisu-s-kremo-brez-jajc
Jagode in piškoti z mascarpone kremo v kozarcu,Sanja Sirk,30,0,30,770,4,1235.03,5.71,25.0,18.5,1.38,0.3,jagode-in-piskoti-z-mascarpone-kremo-v-kozarcu
Piščančji golaž s kumaricami,M.J.,12,30,42,1153,4,645.05,12.25,3.76,9.1,0.12,0.0,piscancji-golaz-s-kumaricami
Sladki krompir s pečenimi jajci,M. J.,10,55,65,1279,5,742.83,8.45,2.69,13.63,0.19,1.34,sladki-krompir-s-pecenimi-jajci
Hitro skutino pecivo z zdrobom in malinami,M. J.,10,40,50,1049,10,813.03,7.76,18.8,8.8,1.2,0.4,hitro-skutino-pecivo-z-zdrobom-in-malinami
Račje prsi in grahov crème brulee,Evita Antončič,30,30,60,1233,3,589.23,8.6,11.15,6.12,2.04,0.13,masterchef-racje-prsi-in-grahov-creme-brulee
Hobotnica s pirejem iz krompirja in kaper; žele iz limete in rožmarina,Luka Novak,30,40,70,1943,4,312.0,6.09,10.02,0.53,1.02,0.0,masterchef-hobotnica-s-pirejem-iz-krompirja-in-kaper-zele-iz-limete-in-rozmarina
Osličevi fileji na pariški način,M.J.,15,15,30,661,4,610.65,16.52,4.27,6.07,0.11,0.22,oslicevi-fileji-na-pariski-nacin
Riž z zelenjavo in piščancem,M. J.,10,50,60,1383,4,742.83,12.12,17.0,5.21,0.57,0.0,riz-z-zelenjavo-in-piscancem
Slani mafini z bučko in feto,M. J.,15,30,45,956,12,1150.1,8.75,24.88,15.36,2.0,0.15,slani-mafini-z-buckami-in-feto
Hitro pecivo s češnjami,Sanja Sirk,15,35,50,533,6,869.94,5.9,32.63,5.07,1.11,0.37,hitro-pecivo-s-cesnjami
Torta z bučnim oljem in limetinim želejem,Petra Trofenik,40,50,90,1747,12,1624.23,15.3,33.75,20.86,2.56,0.37,masterchef-torta-z-bucnim-oljem-in-limetinim-zelejem
Sirup iz vrtnic in melise,Sanja Sirk,45,15,60,831,30,768.98,0.11,46.92,0.0,0.37,0.0,sirup-iz-vrtnic-in-melise
Browniji s češnjami,Su.S.,15,35,50,727,8,1533.6,4.2,37.17,21.85,2.93,0.49,rjavcki-s-cesnjami
Svinjska rolada s špinačo; feto in sušenimi paradižniki,M. J.,15,60,75,1610,4,948.26,12.66,4.92,16.4,1.12,0.59,svinjska-rolada-s-spinaco-feto-in-susenimi-paradizniki
Marinirani lignji s krompirjem v pečici,Sanja Sirk,15,50,65,1373,4,224.3,3.3,6.51,0.87,1.03,0.0,marinirani-lignji-s-krompirjem-v-pecici
Jogurtovo pecivo z malinami,M. J.,10,50,60,875,6,360.83,4.29,7.6,3.31,2.14,0.45,jogurtovo-pecivo-z-malinami-in-malinovo-omako
Jutranji jajčni mafini,M.J.,10,18,28,581,6,596.3,11.88,0.0,8.79,0.0,1.9,jutranji-jajcni-mafini
Gratiniran mlad krompir s šparglji,Su.S.,5,15,20,983,4,580.36,7.14,5.12,9.07,0.92,0.67,gratiniran-mlad-krompir-s-sparglji
Wellington pečenka s pirejem in vinska omaka s hruško,Marko Hriberšek,25,65,90,2694,4,559.07,8.75,13.02,4.63,0.97,0.03,masterchef-wellington-pecenka-s-pirejem-in-vinska-omaka-s-hrusko
Sladoled iz dveh sestavin,T. G.,10,0,10,631,4,388.15,0.84,22.18,0.17,1.85,0.0,sladoled-iz-dveh-sestavin
Pečen krompir z zeliščnim maslom,M. J.,10,50,60,651,4,442.08,0.94,14.15,4.53,1.89,0.0,pecen-krompir-z-zeliscnim-maslom
