Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Mousse z belo čokolado in likerjem,M. J.,10,5,15,940,4,1634.94,5.22,23.49,24.7,1.41,0.0,mousse-z-belo-cokolado-in-likerjem
Poletna zelenjavna lazanja z bučkami,Sanja Sirk,40,55,95,951,4,781.07,12.79,2.79,12.79,0.44,0.15,zelenjavna-lazanja
Pecivo s kislo smetano in marelicami,M. J.,15,45,60,1222,12,866.55,3.72,24.29,10.12,1.24,0.33,pecivo-s-kislo-smetano-in-marelicami
Tortelini v smetanovi omaki z gobami in šunko,M. J.,10,15,25,869,4,974.24,11.97,33.04,6.35,3.6,0.0,tortelini-v-smetanovi-omaki-z-gobami-in-sunko
Toskanska bučkina pita,M. J.,10,50,60,965,4,573.12,6.86,10.89,6.27,0.75,0.15,toskanska-buckina-pita
Krompirjeva poletna solata,Su.S.,15,35,50,1060,4,330.91,1.24,11.15,2.56,1.39,0.0,krompirjeva-poletna-solata
Malinove rezine s pudingom,Tjaša Ribič,15,39,54,1136,5,915.67,5.98,38.36,6.31,5.98,0.0,malinove-rezine-s-pudingom
Hitro pecivo z jagodno marmelado,Su.S.,15,45,60,699,8,1532.01,4.15,50.33,16.48,0.44,0.33,hitro-pecivo-z-marmelado
Testenine z rakci in špinačo iz ene ponve,M. J.,5,25,30,1239,4,475.51,6.48,17.16,1.32,1.2,0.0,testenine-z-rakci-in-spinaco-iz-ene-ponve
Tzatziki omaka s feto,M.J.,20,0,20,806,4,258.95,2.78,3.48,3.34,0.0,0.0,tzatziki-omaka-s-feto
Šakšuka,M.J.,10,45,55,1161,6,422.33,4.88,5.19,6.0,0.69,0.5,pecena-jajca-v-zacinjeni-paradiznikovi-omaki
Solata s hrustljavim piščancem,Su.S.,25,20,45,971,4,405.14,9.1,6.72,3.83,5.27,0.0,solata-s-hrustljavim-piscancem
Piščančja stegna v kremni omaki z gobami in špinačo,M. J.,10,30,40,1467,4,542.62,12.37,1.36,7.54,0.51,0.0,piscancja-stegna-v-kremni-omaki-z-gobami-in-spinaco
Pavlova rolada,M. J.,35,25,60,2050,8,816.55,3.07,45.13,0.0,0.47,0.0,pavlova-rolada
Enolončnica z mletim mesom; papriko in krompirjem,M. J.,10,45,55,1475,4,462.62,4.9,8.31,5.94,1.19,0.0,enoloncnica-z-mletim-mesom-papriko-in-krompirjem
Puhaste ameriške palačinke,S. M.,15,20,35,1146,8,1399.97,7.97,48.16,10.86,0.72,0.36,puhaste-ameriske-palacinke
Klafuti (clafoutis) s češnjami,M. J.,20,40,60,1113,6,633.42,4.59,23.22,3.94,1.18,0.52,klafuti-clafoutis-s-cesnjami
Pisana poletna solata s čičeriko,M. J.,20,0,20,676,2,655.01,5.18,11.65,9.21,2.59,0.0,pisana-poletna-solata-s-ciceriko
Roladna torta z mascarponejem in gozdnimi sadeži,Sanja Sirk,40,23,63,1687,10,947.59,5.32,21.58,12.66,0.61,0.49,roladna-torta
Naan kruh s česnom,M. J.,85,35,120,1507,4,1738.66,8.0,50.47,18.45,1.56,0.0,naan-kruh-s-cesnom
Omleta z bučkami in panceto,M.J.,15,20,35,1152,2,682.2,8.52,1.88,12.39,0.55,0.77,omleta-z-buckami-in-panceto
Čokoladni mousse z jagodami,Tjaša Ribič,15,50,65,859,2,1368.38,3.02,67.42,5.7,8.05,0.0,veganski-cokoladni-mousse-z-jagodami
Sladke sultanove sarme (paša lokum),Su.S.,30,5,35,1105,12,936.17,3.2,23.07,12.75,0.71,0.71,sultanova-sarma
Krhki žepki s kislo smetano in jagodno marmelado,Sanja Sirk,30,50,80,1338,12,1198.97,3.53,36.26,13.44,1.35,0.15,krhki-rogljicki-s-kislo-smetano
Češnjev cheesecake v kozarcu,M. J.,10,18,28,1331,6,1188.51,2.98,24.3,19.49,0.46,0.0,cesnjev-cheesecake-v-kozarcu
Piščančja obara s smetanovimi žličniki,Sanja Sirk,10,45,55,1482,4,613.88,11.88,8.41,5.53,0.58,0.16,piscancja-obara-s-smetanovimi-zlicniki
Testenine s tunino omako s smetano,M. J.,5,15,20,737,3,1151.39,14.7,40.76,4.41,1.74,0.67,tunina-omaka-s-smetano
