Ime jedi,Cena,Promocijska cena
Špargljevo-bučkina juha s proseno kašo,7.6975,7.595
Bananini mafini,10.0242,10.0242
Zapečene krpice s šunko in sirom,8.095,8.095
Masleni piškoti z regratom,5,5
Pečen krompir s šparglji in slanino,8,8
Pomladna fokača,6.365,6.365
Regratov sirup,4,4
Vanilijeva panakota z jagodnim prelivom,9.00938,9.00938
Orehovo pecivo s kislo smetano,8.70333,8.70333
Hitra koruzna zlevanka s koprivami,8.175,8.175
Gorenjska prata,6.149,6.149
Velikonočna čokoladna krema,3.6598,3.6598
Slane velikonočne pletenice,7.8575,7.8575
Hren z jajci in bučnim oljem,6,5.7425
Polnjena velikonočna jajca (obarvana v pesinem soku),9.34833,9.04667
Korenčkova rolada z maskarpone kremo,12.4969,12.1894
Kvašeni velikonočni zajčki,10,10
Pisana mehiška rižota,11.7688,11.7688
Pehtranova pletenica,10.9825,10.9825
Čemaževi njoki s skuto in mandlji,9,9
Koruzni njoki s toskansko omako,13.244,13.198
Svinjski kotleti in krompir iz pečice,6.07437,6.07437
Tiramisu z jagodami,6.50806,6.50806
Potratna rolada,13.0749,13.0749
Vanilijeva krema za košarice in ladjice,6.69558,6.69558
Nagubana pita s sirom,7.26125,7.26125
Puranji zrezki v naravni omaki,5.62375,5.62375
Nemški velikonočni kolač,16.4112,16.4112
Rižota s pikantno papriko in korenjem,9,9
Ajdova rižota z gobami in špinačo,11.635,11.635
Makova roža,15.55,15.55
Makaronovo meso (makaronflajš),11.3725,11.3725
Hrustljavo pečen krompir,4,4
Piščančji medaljoni v smetanovi omaki,6.179,6.179
Pečena prosena kaša z zelenjavo,15.44,15.44
Hitro in sočno jabolčno pecivo,9.23333,9.03333
Puranji polpeti z zelišči,8,8
Svinjski golaž s smetano in papriko,9.65888,9.65888
Svinjski zrezki v smetanovi omaki,6.06843,6.06843
Piščančja juha s palačinkinimi zvitki,13.9888,13.8938
Pečena ovsena kaša z jabolki in rozinami,10.08,9.78
Krhke Nutelline rolice,6.541,6.541
Hitro orehovo pecivo z mascarpone kremo,7.1275,7.0525
Lazanja s piščancem; gobami in špinačo,12.4617,12.4617
Domača kremšnita,5.89983,5.89983
Jabolčni narastek z mandlji,12.19,11.99
Krompirjev narastek z zelenjavo; pršutom in sirom,11.995,11.995
Pohane šnite (ocvrte kruhove rezine),4.55,4.55
Zapečene testenine z bolonjsko omako,11.945,11.945
Nutelline palčke,4,3.99
Krompirjevi svaljki,8,8
Orada v pečici s krompirjem,8,8
Cheesecake z jagodami (brez peke),11.0367,11.0367
Domača bolonjska omaka,9.8345,9.6595
Sirovi tortelini z brokolijem in slanino,6.07437,6.07437
Mongolska govedina,8.7758,8.7648
Palačinke s skuto in rozinami,12.3415,12.3415
Krhko pecivo s pudingovo kremo in jagodami,11.0288,11.0288
Svinjska ribica s pečenim korenjem,12.3113,12.3113
Limonine cheesecake rezine,13.21,13.21
Pastirska pita,17.8606,17.0756
Oslič s krompirjem in zelenjavo iz pečice,9.995,9.995
Piščančji zrezki v gobovi omaki,8.21387,8.21387
Golaževa juha,10.7576,10.7576
Zelenjavna enolončnica s čičeriko,13.5681,13.2181
Puhasti ameriški krofi,10.239,10.239
Piščančja obara z zdrobovimi žličniki,13.895,13.8225
Kremna juha iz pečene cvetače,6.53275,6.13442
Meso iz juhe v omaki,11.8223,11.6472
Telečji zrezki v čebulni omaki,8.1215,8.1215
Italijanski krompirjevi kroketi,8,7.9
Zapečeni njoki z bolonjsko omako,3,3
Salzburški žličniki,7.2925,7.2925
Zapečeno kislo zelje s klobasami,8.43,8.43
Krhki flancati,9.495,9.495
Ričet s prekajenim svinjskim vratom,12,12
Mehki krofi iz pečice,13.4767,13.4767
Vratovina v čebulni omaki,8.62375,8.62375
Kruhova štruca (rolada),7.3725,7.3725
Pečeni piščanec v mleku,7.96417,7.95667
Beneške miške z vanilijevo kremo,14.33,14.33
Kvašen cmok z marmelado (germknödel),9.155,9.155
Palačinka iz pečice,4.55,4.55
Solata z radičem; krompirjem in piščancem,8,7.99
Pečen piščanec in krompir v paradižnikovi omaki,8.3851,8.3851
Njoki v kremni omaki z lososom,8.007,8.007
Zapečene palačinke z lešnikovim nadevom,8.13667,8.04
