Ime izdelka,Znamka,Cena,Promocijska cena,Kolicina,Enota,Kategorija
Kokošja pašteta Junior,ARGETA,1.49,0,1.0,g, MESNI NAREZKI IN MESNE PAŠTETE
Kefir,Z BREGOV,0.65,0,1.0,g, KISLO MLEKO IN KEFIR
Flips,SMOKI,2.59,0,1.0,g, FLIPS
Mini Poli salama,POLI,2.59,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Čebula,MERCATOR,1.29,0,1000.0,g, ČEBULA; ČESEN
Mleta kava Classic,BARCAFFE,17.99,0,1000.0,g, KLASIČNA TURŠKA KAVA
Jetrna pašteta,GAVRILOVIĆ,1.39,0,1.0,g, MESNI NAREZKI IN MESNE PAŠTETE
Mango,S&Z BREZ BZ,1.79,0,1.0,kos, DRUGO SVEŽE SADJE IN PAKETI MEŠANEGA SADJA
Kivi,S&Z BREZ BZ,4.59,0,250.0,g, DRUGO SVEŽE SADJE IN PAKETI MEŠANEGA SADJA
Alpska smetana za stepanje,MU CUISINE,3.99,0,0.001,l, STERILIZIRANA SMETANA ZA KAVO
Sončnično olje,CEKIN,2.79,0,1.0,l, SONČNIČNO OLJE
Papirnate brisače Super Care Pro Food,PALOMA,4.49,0,1.0,kos, PAPIRNATE BRISAČE
Gobasta krpa,VILEDA,4.09,3.48,1.0,kos, KRPE; GOBE IN ŠČETKE ZA ČIŠČENJE
Hruške viljamovke,S&Z BREZ BZ,2.69,0,250.0,g, JABOLKA; HRUŠKE
Slovenski paradižnik Lušt,S&Z BREZ BZ,3.79,0,0.25,kos, PAPRIKA; PARADIŽNIK; FEFERONI
Sladka smetana,MU CUISINE,2.29,0,0.001,l, SLADKA SMETANA
Tunina v oljčnem olju,RIO MARE,8.49,0,1.0,g, RIBJE KONZERVE
Jogurt,EGO,1.49,0,1.0,g, NAVADNI JOGURTI
Keksi s pomarančnim polnilom,JAFFA,2.39,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Tuna v oljčnem olju,MERCATOR,5.79,0,1.0,kos, RIBJE KONZERVE
Sirni namaz klasik,ABC,1.29,0,1.0,g, MLEČNI IN SIRNI NAMAZI
Poli salama,POLI,5.79,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Toast,OLZ,2.79,2.35,1.0,g, TOAST
Papirnate brisače Multi Fun,PALOMA,3.29,0,1.0,kos, PAPIRNATE BRISAČE
Napolitanke z lešnikom in kakavom,MANNER,3.39,0,1.0,g, NAPOLITANKE IN VAFLI
Keksi s pomarančnim polnilom,JAFFA,1.29,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Rdeča paprika,S&Z BREZ BZ,2.99,0,250.0,g, PAPRIKA; PARADIŽNIK; FEFERONI
Masleni toast,OLZ,2.79,0,1.0,g, TOAST
Jagode v košarici,S&Z BREZ BZ,4.69,0,1.0,g, DRUGO SVEŽE SADJE IN PAKETI MEŠANEGA SADJA
Marelice,NERAZPOREJENI ARTIKLI,2.99,0,250.0,g, BRESKVE; NEKTARINE; MARELICE
Melone,S&Z BREZ BZ,1.99,0,250.0,g, DRUGO SVEŽE SADJE IN PAKETI MEŠANEGA SADJA
Praženi neslani arašidi,ODLIČNO,1.99,1.59,1.0,g, OREŠČKI
Tunina v oljčnem olju,RIO MARE,11.99,0,1.0,g, RIBJE KONZERVE
Linški keksi,MERCATOR,2.89,0,1.0,g, DOMAČI KEKSI
Detergent za ročno pomivanje posode Balsam Aloa Vera,PRIL,2.59,0,0.001,l, ZA ROČNO POMIVANJE POSODE
Sveže polnomastno mleko,PLANIKA,1.69,0,1.0,l, SVEŽE MLEKO
Mleta kava Classic,BARCAFFE,6.59,0,1.0,g, KLASIČNA TURŠKA KAVA
Refošk,REFOŠK,3.59,0,1.0,l, RDEČA VINA IN ROSE
Narezek pečen pršut,KRAŠ,3.19,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Papirnate brisače Multi Fun,PALOMA,3.69,0,1.0,kos, PAPIRNATE BRISAČE
Rdeče grenivke,S&Z BREZ BZ,1.99,0,250.0,g, BANANE IN AGRUMI
Mlečni desert Monte Maxi,ZOTT MONTE,2.99,0,1.0,g, PUDINGI IN KREME
Rjavi sladkor Demerara,BILLINGTON'S,2.39,0,1.0,g, RJAVI SLADKOR
Sadna skuta s podloženim sadjem Mu,LJUBLJANSKE MLEKARNE,1.07,0,1.0,g, SADNE SKUTE
Narezek kraški pršut,KRAŠ,5.49,3.79,1.0,kos, SUHOMESNATI IN TRAJNI IZDELKI
Kava v zrnju Espresso,BARCAFFE,21.79,0,1000.0,g, KLASIČNA TURŠKA KAVA
Zlati ananas,S&Z BREZ BZ,1.99,1.49,250.0,g, DRUGO SVEŽE SADJE IN PAKETI MEŠANEGA SADJA
Navadni jogurt,MU,1.39,0,1.0,g, NAVADNI JOGURTI
Srebrna radgonska penina,SREBRNA RADGONSKA PENINA,9.99,0,1.0,l, PENEČA VINA
Skuša z zelenjavo Izola Brand,DELAMARIS,5.79,4.34,1.0,g, RIBJE KONZERVE
Korenje,S&Z BREZ BZ,1.09,0.89,250.0,g, KORENJE; KOLERABA; KROMPIR
Instant polenta,ZLATO POLJE,1.27,0,1.0,g, MLEVSKI IZDELKI (KAŠA; JEŠPRENJ; ZDROB…)
Večzrnati toast,OLZ,3.29,2.79,1.0,g, TOAST
Jetrna pašteta,KEKEC,0.79,0,1.0,g, MESNI NAREZKI IN MESNE PAŠTETE
Vrečke za smeti z vrvico,ALUFIX,4.99,0,1.0,kos, VSE ZA SMETI
Slovensko surovo maslo,POMURSKE MLEKARNE,3.89,0,1.0,g, MASLO IN MASLENI NAMAZI
Topljeni sir Klasik,ZDENKA,2.19,0,1.0,g, TOPLJENI SIR
Smetana za stepanje,POMURSKE MLEKARNE,2.69,0,0.001,l, STERILIZIRANA SMETANA ZA KAVO
Majoneza,THOMY,2.99,0,1.0,g, MAJONEZE
Piškoti,GRANCEREALE,1.99,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Delikatesne kumarice,DROGA,2.89,0,1.0,g, KUMARICE
Črni hlebec,MERCATOR,2.79,0,1000.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Puranji file zrezki,MERCATOR,4.99,0,1.0,g, PERUTNINA
Trajno polnomastno Alpsko mleko,ALPSKO MLEKO,1.05,0,1.0,l, TRAJNO MLEKO
Sok,FRUCTAL,2.29,0,1.0,l, JABOLKO
Zeleni čaj,TEEKANNE,2.29,0,1.0,g, ZELENI; ČRNI IN BELI ČAJ
Por,S&Z BREZ BZ,2.99,0,250.0,g, DRUGA SVEŽA ZELENJAVA
Rjavi fižol v zrnju,VALFRUTTA,2.69,0,1.0,g, FIŽOL
Nektar,FRUCTAL,1.79,0,1.0,l, JABOLKO
Tunina v ekstra deviškem oljčnem olju,RIO MARE,8.79,0,1.0,g, RIBJE KONZERVE
Sok,FRUCTAL,2.39,0,1.0,l, POMARANČA
Papirnate brisače Lemon XXL,VIOLETA,3.09,0,1.0,kos, PAPIRNATE BRISAČE
Kokošja pašteta,ARGETA,1.49,0,1.0,g, MESNI NAREZKI IN MESNE PAŠTETE
Hud kruhek brez kvasa s semeni,PEKARNA GROSUPLJE,3.19,0,1.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Piščančje hrenovke,MERCATOR,0.99,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Tunina Insalatissime,RIO MARE,7.29,0,1.0,g, KONZERVIRANE RIBE Z ZELENJAVO
Gobova juha z jurčki,KNORR,1.69,0,1.0,g, INSTANT JUHE
Ekstra deviško oljčno olje Classico,MONINI,17.99,0,0.001,l, OLJČNO OLJE
Haložan,HALOŽAN,5.49,4.67,1.0,l, BELA VINA
Rjavi sladkor,SUN SUGAR MAURITIUS,2.29,1.99,1.0,g, RJAVI SLADKOR
Narezek kmečki špek Kras,KRAŠ,3.49,0,1.0,kos, SUHOMESNATI IN TRAJNI IZDELKI
Polbeli Jelenov kruh,ŽITO,4.69,0,1000.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Nektar,FRUCTAL,2.29,0,1.0,l, DRUGI OKUSI
Maslo,PLANIKA,3.99,0,1.0,g, MASLO IN MASLENI NAMAZI
Mesni zajtrk,GAVRILOVIĆ,2.29,1.83,1.0,g, MESNI NAREZKI IN MESNE PAŠTETE
Pivo Budweiser,BUDWEISER,1.35,0,1.0,l, PIVO
Mešani temni kruh Skorjavc,PEKARNA GROSUPLJE,4.69,0,1000.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Nektar,FRUCTAL,2.79,0,1.0,l, DRUGI OKUSI
Jajca M,MEJA,3.59,0,1.0,kos, JAJCA
Jabolčni kis,AŠIČ,3.19,0,1.0,l, JABOLČNI KIS
