Ime izdelka,Znamka,Cena,Promocijska cena,Kolicina,Enota,Kategorija
Linški piškoti,DOMAČE DOBROTE,4.39,0,1.0,g, DOMAČI KEKSI
Domača suha salama,Z'DEŽELE,11.49,0,1.0,g, SUHOMESNATI IN TRAJNI IZDELKI
Gazirana pijača Kombucha Original,VIGO,1.89,0,0.001,l, PIJAČE
Čokolada,RITTER SPORT,1.99,0,1.0,g, ČOKOLADA
Čaj brusnica,MERCATOR,1.19,0,1.0,g, SADNI ČAJI
Kakavovi pomarančni poljubčki,MERCATOR,2.59,0,1.0,g, DOMAČI KEKSI
Mokra hrana za mačke,FELIX  PURINA,0.79,0.69,1.0,g, MAČJA HRANA V KONZERVAH IN ENKRATNI OBROKI
Paradižnikova omaka z olivami,BARILLA,3.49,0,1.0,g, ZELENJAVNE OMAKE
Zrnasti česen,KOTANYI,1.99,0,1.0,g, ZAČIMBE ZA KUHO
Bonboni Kiki,KRAŠ KIKI,1.19,0,1.0,g, BONBONI 
Vinski kis,RENŠKI HRAM,1.39,0,0.001,l, VINSKI KIS
Čips,CHIO,1.99,1.69,1.0,g, MEHIŠKA PREHRANA
Flips pizza,PATA,1.69,0,1.0,g, FLIPS
Čokolada Bubbly Alpine Milk,MILKA,1.49,0,1.0,g, ČOKOLADA
Otroška zobna pasta Elmex junior 6-12 let,ELMEX,4.69,0,0.001,l, KOPANJE IN UMIVANJE
Čokoladne bananice,BANANICA,2.09,1.88,1.0,g, ČOKOLADNI IZDELKI IN NAPOLITANKE
Narezek ogrska salama,ALPIJA SUŠENE MESNINE,2.89,0,1.0,g, SUHOMESNATI IN TRAJNI IZDELKI
Rjava leča,MERCATOR GARDEN GOOD,1.79,0,1.0,g, SUHE STROČNICE IN SEMENA
Mleti lešniki,SWEET CHEF,3.39,0,1.0,g, MLETI OREŠČKI; MLETO IN KANDIRANO SADJE
Gel za prhanje,PALMOLIVE,3.29,0,0.001,l, TUŠIRANJE IN KOPANJE
Riževi rezanci 5 mm,TAS,3.39,0,1.0,g, AZIJSKA PREHRANA
Hrustljavi kruhki Delikatess,WASA,2.39,0,1.0,g, HRUSTLJAVI KRUHKI
Keksi Leibniz z maslom,BAHLSEN,0.7,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Detergent za pranje perila,ARIEL,41.49,24.89,1.0,kos, DETERGENTI ZA PRANJE PERILA
Skyr s proteini,Z BREGOV,1.15,0,1.0,g, JOGURTI S PROTEINI
Sladka paprika,MAESTRO,1.69,0,1.0,g, ZAČIMBE ZA PEKO
Čokolada,MARS,1.19,0,1.0,g, ČOKOLADNI IZDELKI IN NAPOLITANKE
Vžigalne kocke Natur Flash,FLASH,1.69,0,1.0,kos, VRTNA GALANTERIJA IN ORODJE
Limonin sok,LIMMI,1.59,0,1.0,l, LIMONINI SOKOVI IN KONCENTRATI
Nektar,FRUCTAL,2.29,0,1.0,l, DRUGI OKUSI
Želatina,DR.OETKER,1.09,0,1.0,g, INSTANT TORTE; PECIVA
Sadni bonboni,PEZ,1.15,0,1.0,g, DROBNI BONBONI IN DRUGI DROBNI SLADKI IZDELKI
Kapeleti s skuto in špinačo,MLINOTEST,2.59,0,1.0,g, HLAJENE TESTENINE
Plenice maxi mega 4 (7-18 kg),LUMPI,11.39,0,1.0,kos, PLENICE
Gazirana pijača,SPRITE,0.99,0,1.0,l, GAZIRANE PIJAČE OSTALIH OKUSOV
Negazirana mineralna voda,JANA,2.79,0,1.0,l, NEGAZIRANE VODE 
Atlantski losos,MBT SVET,22.99,0,500.0,g, SLADKOVODNE RIBE
Kaša jabolko,FRUTEK,1.49,1.28,1.0,g, SADNE KAŠICE
Topljeni naravni sir v lončku,ZDENKA,2.09,0,1.0,g, TOPLJENI SIR
Negazirana pijača,DANA,1.49,0,1.0,l, DRUGI OKUSI
Rjavi fižol,NATURETA,1.15,0,1.0,g, FIŽOL
Univerzalno čistilo White & Shine,DOMESTOS,3.19,1.91,0.001,l, UNIVERZALNA ČISTILA
Tekoče milo,PALMOLIVE,4.49,0,0.001,l, MILA
Fermentiran sojin izdelek,ALPRO,2.59,0,1.0,g, NAPITKI IN DESERT
Odstranjevalec madežev Vanish Oxi Trigger,VANISH,7.59,5.99,0.001,l, SREDSTVA ZA ODSTRANJEVANJE MADEŽEV
Sladka koruza,MERCATOR GARDEN GOOD,0.99,0,1.0,g, DRUGA KONZERVIRANA IN VLOŽENA ZELENJAVA
Mlečni namaz,ZELENE DOLINE,1.99,0,1.0,g, MLEČNI IN SIRNI NAMAZI
Sirup,FRUCTAL,4.15,0,1.0,l, SIRUPI
Piščančji ražnjiči Piknik,PERUTNINA PTUJ PIKNIK,4.99,0,1.0,kos, PERUTNINA
Razkužilo Sani form,STELEX,7.19,0,0.001,l, UNIVERZALNA ČISTILA
Pijača,FRUCTAL,2.39,1.78,1.0,l, DRUGI OKUSI
Plitvi krožnik,TOGNANA,4.99,2.99,1.0,kos, PORCELAN; KERAMIKA
Bio mandljev napitek,RISO SCOTTI,2.69,0,1.0,l, NAPITKI IN DESERT
Biorazgradljive palčke,COTONEVE,3.29,0,1.0,kos, VATA IN VATIRANI IZDELKI
Šentjanževec,GORIŠKA BRDA-VINO,4.49,0,1.0,l, BELA VINA
Desertni čokoladni preliv,SLADKI GREH,3.49,0,1.0,g, MRVICE; OKRASKI IN DRUGI DODATKI ZA PEKO
Lonček,HOME,0.99,0,0.001,l, PORCELAN; KERAMIKA
Čips s papriko,CHIO,3.99,2.69,1.0,g, ČIPS
Hrustljavi kruhki Granetti,MULINO BIANCO,2.49,0,1.0,g, PREPEČENEC
Keks sendvič z nadevom brez dodanega sladkorja Diet nature,GULLON,2.29,0,1.0,g, OSTALA DIABETIČNA IN DIETETIČNA PREHRANA
Posebna salama,MERCATOR,1.09,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Zrnasta čebula,KOTANYI,1.99,0,1.0,g, ZAČIMBE ZA KUHO
Ovseni napitek s kalcijem,VALSOIA,2.49,1.99,1.0,l, NAPITKI IN DESERT
Piščančja stegna in krače IK brez GSO,AVE,3.89,0,1.0,g, PERUTNINA
Juha z govejim mesom in orientalskimi testeninami,SEIKEBON,1.89,1.69,1.0,g, INSTANT JUHE
Cezar solata z mariniranim piščancem,MINUTE,4.99,0,1.0,g, SENDVIČI
Ameriške borovnice,MERCATOR RID,3.29,0,1.0,g, DRUGO SVEŽE SADJE IN PAKETI MEŠANEGA SADJA
Mini osvežilec Sweet Rose,DAX,3.19,0,0.001,l, OSVEŽILCI PROSTORA
Kremni namaz Duo,VIKI,2.89,0,1.0,g, KREMNI NAMAZI
Mlečni namaz,DUKATELA,1.99,0,1.0,g, MLEČNI IN SIRNI NAMAZI
Prigrizek za pse Beef Stick za boljše srce,VITAKRAFT,0.69,0,1.0,g, POSLASTICE
Hrana za pse z divjačino,HOBBY DOG,1.69,0,1.0,g, PASJA HRANA V KONZERVAH IN ENKRATNI OBROKI
Sladka rdeča paprika,VITAMIN,2.29,0,1.0,g, ZAČIMBE ZA PEKO
Milo toaletno Marseille oliva 125 g,MARSEILLE,2.09,0,1.0,g, MILA
Paradižnikova omaka z ricotto,BARILLA,3.99,3.39,1.0,g, ZELENJAVNE OMAKE
Mehčalec,ORNEL,7.09,0,1.0,l, MEHČALCI ZA PERILO
Kava Perfetto,BARCAFFE,3.89,0,1.0,g, INSTANT KAVA
Kakav v prahu,KANDIT,2.79,0,1.0,g, JEDILNA ČOKOLADA IN ČOKOLADA TER KAKAV V PRAHU
Goveji golaž,PODRAVKA,3.79,0,1.0,g, MESNA PRIPRAVLJENA HRANA
Pašteta turistična pikant,DELAMARIS,1.39,0,1.0,g, RIBJE PAŠTETE
Fileti paprike,NATURETA,2.49,0,1.0,g, PAPRIKA
Bonboni,RICOLA,1.69,0,1.0,g, DROBNI BONBONI IN DRUGI DROBNI SLADKI IZDELKI
Gazirana pijača,FANTA,1.69,0,1.0,l, GAZIRANE PIJAČE Z OKUSOM POMARANČE
Čokolada Oreo,MILKA,0.75,0,1.0,g, ČOKOLADNI IZDELKI IN NAPOLITANKE
Domači blagi ajvar,MERCATOR,5.99,0,1.0,g, KETCHUP; AJVAR; GORČICA
Hrana za ptice v naravi Vita Garden,VITAKRAFT,2.49,0,1.0,g, HRANA ZA PTIČE
Domači blagi ajvar,MERCATOR,5.99,0,1.0,g, KETCHUP; AJVAR; GORČICA
Gazirana pijača,FANTA,1.69,0,1.0,l, GAZIRANE PIJAČE Z OKUSOM POMARANČE
Pomladna zelenjavna mešanica,NATURETA,1.89,0,1.0,kos, ZAMRZNJENA ZELENJAVA
Proteinska ploščica Me:First,ME:FIRST,2.09,1.69,1.0,g, PREHRANSKA DOPOLNILA
Gazirana pijača Kombucha Acai,VIGO,1.89,0,0.001,l, PIJAČE
Drobljeni peteršilj,KOTANYI,1.69,0,1.0,g, ZAČIMBE ZA KUHO
Espresso mleta kava Jubilarna,FRANCK,4.49,0,1.0,g, KLASIČNA TURŠKA KAVA
Mini Poli salama s sirom,POLI,2.59,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Tekoče milo Aquarium,PALMOLIVE,3.29,0,0.001,l, MILA
Pivo brez glutena,PIVO DAMM,1.99,1.84,1.0,l, BREZGLUTENSKA ŽIVILA
Ješprenjček,ZLATO POLJE,1.49,1.09,1.0,g, MLEVSKI IZDELKI (KAŠA; JEŠPRENJ; ZDROB…)
Sadni jogurt s proteini,ZOTT,1.09,0,1.0,g, JOGURTI S PROTEINI
Bučno olje,PETOVAR,14.99,0,1.0,l, BUČNO OLJE
Hrana za mačke Steril,ONE,6.09,0,1.0,g, BRIKETIRANA MAČJA HRANA
Bonboni Cool wave,HALLS,0.99,0,1.0,g, DROBNI BONBONI IN DRUGI DROBNI SLADKI IZDELKI
Jagodni kompot,NATURETA,4.19,0,1.0,g, KOMPOTI
Polnozrnati keksi Cour Cereale brez dodanega sladkorja,GULLON,1.89,0,1.0,g, OSTALA DIABETIČNA IN DIETETIČNA PREHRANA
Biskvit s smetano in kakavovo glazuro,DR.GERARD,3.39,2.89,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Špinačni rezanci v gnezdih,BARILLA,3.19,0,1.0,g, REZANCI
Prigrizek za mačke Ocean Mix,FELIX  PURINA,1.79,0,1.0,g, POSLASTICE
Zobna pasta Anti Cavitynaturel,VADEMECUM,2.49,0,0.001,l, ZOBNE PASTE
Kompot iz mešanega sadja,VALFRUTTA,4.49,0,1.0,g, KOMPOTI
Bio grah,NATURETA,2.25,0,1.0,g, KONZERVIRANA IN VLOŽENA ZELENJAVA
Instant kava Classic 3v1,NESCAFE,2.49,0,1.0,g, INSTANT KAVA
Svetla sojina omaka,PEARL RIVER BRIDGE KIT.SOJ.OMA,1.69,0,0.001,l, AZIJSKA PREHRANA
Hrana za mačke Friskies Adult s piščancem in zelenjavo,FRISKIES PURINA,6.99,5.59,1.0,kos, BRIKETIRANA MAČJA HRANA
Začimbna mešanica za polnjene paprike in sarme,FANT,1.89,1.29,1.0,g, ZAČIMBE ZA KUHO
Piščančji sočni ražnjiči,PERUTNINA PTUJ PIKNIK,7.99,5.59,1.0,kos, PERUTNINA
Srebrna čebulica v kisu,NATURETA,2.89,0,1.0,g, ZELENJAVNE SPECIALITETE
Čistilo za steklo Flower z močjo kisa z razpršilko,STELEX,2.99,0,0.001,l, ČISTILA ZA STEKLO
Hrana za pse,CESAR,1.45,0,1.0,g, PASJA HRANA V KONZERVAH IN ENKRATNI OBROKI
Kosi tune v rastlinskem olju Eva,EVA,5.59,0,1.0,kos, RIBJE KONZERVE
Čaj svežina borovnice,MATIK,1.49,0,1.0,g, SADNI ČAJI
Flips s papriko Pomsticks,LORENZ,1.73,0,1.0,g, ČIPS
Jagodna marmelada,BELSAD,3.89,0,1.0,g, MARMELADE IN DŽEMI
Nektar,FRUCTAL,2.29,0,1.0,l, DRUGI OKUSI
Nektar,DANA,1.69,0,1.0,l, JABOLKO
Flips čoko,SMOKI,2.2,0,1.0,g, FLIPS
Posebna salama z vrtninami,JATA,3.59,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Šampinjoni,MERCATOR,1.79,0,1.0,g, GOBE
Mokra hrana za mačke,FELIX  PURINA,0.79,0.69,1.0,g, MAČJA HRANA V KONZERVAH IN ENKRATNI OBROKI
Bonboni Kiki,KRAŠ KIKI,4.19,3.35,1.0,g, BONBONI 
Keksi sendvič kakav,FINESSE,1.99,1.49,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Piščančje meso po italjansko,PERUTNINA PTUJ NATUR PREMIUM,5.99,0,1.0,kos, PERUTNINA
Biskvit z mareličnim polnilom in čokolado,DR.GERARD,2.29,1.99,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Sirup,MERCATOR,8.99,0,1.0,l, SIRUPI
Surovo maslo,POMURSKE MLEKARNE,2.49,0,1.0,g, MASLO IN MASLENI NAMAZI
Vatne blazinice Maxi,OLEA,1.39,0,1.0,kos, VATA IN VATIRANI IZDELKI
Rdeče vino Vranac,GROZD,2.19,0,1.0,l, RDEČA VINA IN ROSE
Pšenična moka,BELJE,0.69,0,1000.0,g, PŠENIČNA MOKA
Jagode,NATURETA,3.49,0,1.0,g, ZAMRZNJENO SADJE
Žvečilni gumi white classic,ORBIT,3.99,2.79,1.0,g, ŽVEČILNI GUMIJI
Tekoče milo,PALMOLIVE,3.29,0,0.001,l, MILA
Maslo,MERCATOR RID,3.99,0,1.0,g, MASLO IN MASLENI NAMAZI
Mlečna rezina Kinder Pingui,FERRERO - HLAJENI PROGRAM,0.54,0,1.0,g, MLEČNI RIŽ; DESERTI ...
Tolminska skuta,PLANIKA,3.89,0,1.0,g, SKUTE
Telečja obara,NATURETA,2.99,0,1.0,g, MESNA PRIPRAVLJENA HRANA
Domača marelična marmelada,PODRAVKA,2.49,0,1.0,g, MARMELADE IN DŽEMI
Baterijski vložek Varta,VARTA,7.49,0,1.0,kos, BATERIJSKI VLOŽKI
Hrenovke,BONUS PLUS,1.89,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Bio pečen kostanj,FAST SNACK,2.49,0,1.0,g, OSTALA SUHA ZELENJAVA
Sadni čaj,FRANCK,1.89,0,1.0,g, SADNI ČAJI
Gazirana pijača,PIPI,0.99,0,1.0,l, GAZIRANE PIJAČE Z OKUSOM POMARANČE
Koktajl Johan,FREITAG,1.99,0,1.0,l, PIJAČE Z DODATKOM ALKOHOLA
Čokolino,LINO,2.99,0,1.0,g, OTROŠKE KAŠICE BREZ MLEKA
Ovseni keksi,BOOM BOX,0.99,0.69,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Neolupljeni jabolčni krhlji,MERCATOR RID,1.39,0,1.0,g, SUHO SADJE
Profilirana gobica,FINO,2.39,0,1.0,kos, KRPE; GOBE IN ŠČETKE ZA ČIŠČENJE
Baterijski vložek Duracell,DURACELL,9.79,0,1.0,kos, BATERIJSKI VLOŽKI
Wc obešanka Bref Blue Aktiv,BREF,7.99,0,1.0,g, OBEŠANKE ZA WC ŠKOLJKE
Mehki polnomastni sir v slanici Salakis,PRESIDENT,3.59,0,1.0,g, SVEŽI SIRI: FETA; KAJMAK; MOZZARELLA
Bonboni Mentol,MERCATOR,0.63,0,1.0,g, BONBONI 
Univerzalno čistilo Lagoon Flowers,AJAX,4.19,0,1.0,l, UNIVERZALNA ČISTILA
Prigrizek za mačke mini palčke z raco in kuncem,VITAKRAFT,1.09,0,1.0,g, POSLASTICE
Čokolino lešnik,LINO,5.99,0,1.0,g, OTROŠKE KAŠICE BREZ MLEKA
Pikant pašteta,PODRAVKA,1.49,0,1.0,g, MESNI NAREZKI IN MESNE PAŠTETE
Olive Elia Kalamatas v slanici,ILIADA,5.39,0,1.0,g, OLIVE
Dodatek jedem z zelenjavo,VEGETA,2.59,0,1.0,g, DODATKI JEDEM
Pivo lager brez glutena,SAN MIGUEL,2.29,0,1.0,l, BREZGLUTENSKA ŽIVILA
Keksi z vanilijevo kremo,OREO,1.29,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Vrhniški smetanovi piškoti,ADAMIČ,4.49,0,1.0,g, DOMAČI KEKSI
Negazirana voda,VITAMIN WELL,1.89,0,1.0,l, NEGAZIRANE VODE 
Narezek kraški pršut,LOKEV,5.19,0,1.0,kos, SUHOMESNATI IN TRAJNI IZDELKI
Ledeni čaj,FUZETEA,1.24,0,1.0,l, LEDENI ČAJ
Lahka smetana za kuhanje,DUKAT-BRZO & FINO,2.99,0,1.0,g, STERILIZIRANA SMETANA ZA KAVO
Eko Kranjska klobasa,ČADEŽ,6.89,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Krompirjevi njoki,DINKO FUŽI,3.59,0,1.0,g, HLAJENI SVALJKI; NJOKI
Mlečni namaz,ZELENE DOLINE,1.99,0,1.0,g, MLEČNI IN SIRNI NAMAZI
Zobna pasta Signal Daily White Booster,SIGNAL,3.29,0,0.001,l, ZOBNE PASTE
Sladka mleta rdeča paprika,MAESTRO,1.69,0,1.0,g, ZAČIMBE ZA PEKO
Wc osvežilec Fresh Discs Cvetje,DUCK,5.29,0,0.001,l, OBEŠANKE ZA WC ŠKOLJKE
Kaša jabolko,FRUTEK,1.49,0,1.0,g, SADNE KAŠICE
Sirup,MERCATOR,8.99,0,1.0,l, SIRUPI
Breskov kompot,VALFRUTTA,2.69,0,1.0,g, KOMPOTI
Keksi z rižem in čokolado brez laktoze Biscotto,S! CON RISO,2.99,0,1.0,g, OSTALA DIABETIČNA IN DIETETIČNA PREHRANA
Omaka zeleni pesto,NATURETA,3.39,0,1.0,g, ZELENJAVNE OMAKE
Kosmiči granola,SANTE,3.79,0,1.0,g, MÜESLI
Sir Ementalec,MERCATOR,5.99,0,1.0,g, TRDI SIRI: PARMEZAN; EMENTALER
Vanilijev puding,DOLCELA,1.69,0,1.0,kos, PUDINGI IN KREME
Blagi ketchup,MERCATOR,1.49,0,1.0,g, KETCHUP; AJVAR; GORČICA
Kremni namaz Duo,LINO LADA,5.59,0,1.0,g, KREMNI NAMAZI
Univerzalno čistilo,CILLIT BANG,6.29,4.4,0.001,l, UNIVERZALNA ČISTILA
Proteinski napitek,Z BREGOV,2.19,0,1.0,g, MLEKO Z OKUSOM
Sirni namaz,ABC,5.99,5.08,1.0,g, MLEČNI IN SIRNI NAMAZI
Bohinjski kefir,BOHINJSKI PLANŠAR,1.89,0,1.0,g, KISLO MLEKO IN KEFIR
Sladoled kornet,LEDO SLADOLEDI,4.49,2.99,0.001,l, DRUŽINSKI SLADOLEDI
Ovseni kruh z orehi Kraševec,MLINOTEST,3.19,2.69,1.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Posip v mlinčku,KOTANYI,2.19,0,1.0,g, MRVICE; OKRASKI IN DRUGI DODATKI ZA PEKO
Dišeča sveča,GLADE,6.59,0,1.0,g, DIŠEČE SVEČE
Cappuccino Regular,NESCAFE,3.59,0,1.0,g, CAPUCCINO
Temna čokolada Mistica z brusnico in jabolkom,GORENJKA,3.19,0,1.0,g, ČOKOLADA
Jota brez mesa,NATURETA,2.19,0,1.0,g, ZELENJAVNA PRIPRAVLJENA HRANA
Vrhniški srčki,ADAMIČ,4.49,0,1.0,g, DOMAČI KEKSI
Zeliščni bonboni,RICOLA,1.59,0,1.0,g, BONBONI 
Grajska mešanica zelenjave,GARDEN GOOD,1.99,0,1000.0,g, ZAMRZNJENA ZELENJAVA
Papirnati robčki Coco Shea Butter 4 slojni,VIOLETA,2.29,0,1.0,kos, PAPIRNATI ŽEPNI IN VLAŽILNI OSVEŽILNI ROBČKI
Čokolada Delice,KINDER,0.89,0,1.0,g, ČOKOLADNI IZDELKI IN NAPOLITANKE
Bio kava,BARCAFFE,5.99,0,1.0,g, KLASIČNA TURŠKA KAVA
Ajdova kaša,MERCATOR,2.79,0,1000.0,g, MLEVSKI IZDELKI (KAŠA; JEŠPRENJ; ZDROB…)
Damski vložki Normal,ALWAYS,3.39,0,1.0,kos, DAMSKI VLOŽKI IN TAMPONI
Rezine sira Gauda,ZELENE DOLINE,3.19,0,1.0,g, SIRI REZINE
Polbela Taborska štručka,PEKARNA GROSUPLJE,1.79,0,1.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Gazirana pijača,FENTIMANS,2.99,0,0.001,l, GAZIRANE PIJAČE OSTALIH OKUSOV
Pasiran paradižnik,VALFRUTTA,3.49,0,1.0,g, PARADIŽNIK
Pasta snack s carbonaro,KNORR,2.49,1.49,1.0,g, PRIPRAVLJENA HRANA
Žitna ploščica s čokolado in banano,CORNY,3.29,2.79,1.0,g, ŽITNE IN SADNE REZINE
Negazirana voda,ZALA,0.69,0,1.0,l, NEGAZIRANE VODE Z DODATKI
Ploščica Nature,MEDEX,1.79,1.58,1.0,g, PREHRANSKA DOPOLNILA
Čistilo za kopalnice Power,CIF,4.29,2.57,0.001,l, ČISTILA ZA KOPALNICE  
Toaletno milo,PALMOLIVE,1.19,0,1.0,g, MILA
Keksi ovseni kosmiči,SAN,1.29,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Hrana za mačke Gourmet Mon Petit,GOURMET PURINA,3.09,2.47,1.0,g, MAČJA HRANA V KONZERVAH IN ENKRATNI OBROKI
Češnjev paradižnik Sunstream,NERAZPOREJENI ARTIKLI,2.99,0,1.0,g, PAPRIKA; PARADIŽNIK; FEFERONI
Blitva,S&Z BREZ BZ,1.59,0,1.0,g, DRUGA SVEŽA ZELENJAVA
Čičerika,NATURETA,2.09,0,1.0,g, FIŽOL
Sveže testo za pizzo,TANTE FANNY,3.19,0,1.0,g, HLAJENO TESTO
Mešanica začimb za krompir,MAESTRO,0.99,0,1.0,g, ZAČIMBE ZA KUHO
Olje za cvrtje Frivita,ZVEZDA,5.49,0,1.0,l, SONČNIČNO OLJE
Mlečna čokolada s karamelo in morsko soljo,FINESSE,1.29,0,1.0,g, ČOKOLADA
Namenska pšenična moka za kvašeno in vlečno testo T 500,INTES,2.19,0,1000.0,g, NAMENSKA MOKA
Tuna solata Mediterana,EVA,3.39,0,1.0,g, KONZERVIRANE RIBE Z ZELENJAVO
Posebna piščančja salama,PIVKA,3.89,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Gazirana pijača,FANTA,1.39,0,1.0,l, GAZIRANE PIJAČE Z OKUSOM POMARANČE
Muesli s čokolado,VITALIS,3.89,0,1.0,g, MÜESLI
Slani koruzni prigrizek What Snack,BENLIAN FOOD,1.09,0.79,1.0,g, BREZGLUTENSKA ŽIVILA
Bonboniera Pocket Coffe,POCKET COFFEE,5.09,0,1.0,g, BONBONIERE
Gel za prhanje,PALMOLIVE,3.29,0,0.001,l, TUŠIRANJE IN KOPANJE
Pijača,THOMAS HENRY,3.29,0,1.0,l, GAZIRANE PIJAČE OSTALIH OKUSOV
Instant kava Decaf,MERCATOR,3.49,0,1.0,g, INSTANT KAVA
Solatno olje,FRAM,5.99,4.19,1.0,l, OSTALE VRSTE OLJA
Jogurtov napitek granatno jabolko,ACTIMEL,3.29,0,1.0,g, SADNI JOGURTI
Instant kava Decaf,MERCATOR,3.49,0,1.0,g, INSTANT KAVA
Tekoči jogurt ananas,LCA,1.07,0,1.0,g, SADNI JOGURTI
Proteinska ploščica,PROTEINI.SI,1.44,0,1.0,g, PREHRANSKA DOPOLNILA
Boranja,NATURETA,2.99,0,1.0,g, MESNA PRIPRAVLJENA HRANA
Naravno sladilo Eritritol,MERCATOR,3.99,0,1.0,g, NARAVNA SLADILA
Integralni parboiled riž,ZLATO POLJE,3.59,0,1.0,g, OSTALE VRSTE RIŽA
Wc osvežilec Duck Fresh Discs Lavanda,DUCK,5.29,0,1.0,kos, OBEŠANKE ZA WC ŠKOLJKE
Detergent za odstranjevanje madežev Frosch Baby,FROSCH,3.99,0,0.001,l, EKOLOŠKA ČISTILA
Mlečna čokolada z mandlji in lešniki,JIMMY FANTASTIC,1.29,0.59,1.0,g, ČOKOLADA
Bio humus natural,BIO ZONE,2.09,0,1.0,g, NAMAZI
Ribice Goldfischi sezam,SOLETTI,1.59,0,1.0,g, OSTALO SLANO PECIVO
Hrana za mačke One z lososom in rižem,ONE,6.09,0,1.0,kos, BRIKETIRANA MAČJA HRANA
Mlečna čokolada,FINESSE,2.29,0,1.0,g, ČOKOLADA
Gazirana voda z okusom,ROEMERQUELLE,0.99,0,1.0,l,ENIPUKS ENVOGALB ENTENRETNI ;EČAJIP ;EDOV ;IKTADOD Z EDOV ENARIZAG
Ledeni čaj,FUZETEA,1.21,0,1.0,l, LEDENI ČAJ
Plenice Pampers Premium 5 (11-16 kg),PAMPERS PREMIUM,19.79,0,1.0,kos, PLENICE
Negazirana pijača,DANA,1.49,1.09,1.0,l, DRUGI OKUSI
Negazirana voda z okusom,OAZA,0.79,0,1.0,l, NEGAZIRANE VODE Z DODATKI
Sadna rezina z gozdnimi sadeži,MERCATOR,4.19,0,1.0,kos, TORTE IN SVEŽE ROLADE
Paradižnikova omaka z olivami,NATURETA,1.99,0,1.0,g, ZELENJAVNE OMAKE
Koruzni čips,EL SABOR,1.89,0,1.0,g, MEHIŠKA PREHRANA
Moka za krofe,MLINOTEST,1.79,0.87,1000.0,g, NAMENSKA MOKA
Fino mleta morska sol v mlinčku,KOTANYI,2.09,0,1.0,g, SOL 
Polnozrnati keksi Cour Cereale z jogurtom brez dodanega sladkorja,GULLON,2.49,0,1.0,g, OSTALA DIABETIČNA IN DIETETIČNA PREHRANA
Bio trsni sladkor,BIO ZONE,1.69,0,1.0,g, SLADKOR
Sadni čaj,1001 CVET,7.99,0,1.0,g, SADNI ČAJI
Prigrizek za mačke Temptation z lososom,WHISKAS,2.29,0,1.0,g, POSLASTICE
Kakavovi keksi Leibniz,BAHLSEN,2.79,2.49,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Zeleni čaj,MERCATOR,0.96,0,1.0,g, ZELENI; ČRNI IN BELI ČAJ
Napitek,ALPRO,3.49,0,1.0,l, NAPITKI IN DESERT
Barva za jajca,BERČON,0.59,0,1.0,kos, VELIKA NOČ
Pšenični zdrob,ZLATO POLJE,0.99,0,1.0,g, MLEVSKI IZDELKI (KAŠA; JEŠPRENJ; ZDROB…)
Slovenski paradižnik,S&Z BREZ BZ,2.79,0,1.0,g, PAPRIKA; PARADIŽNIK; FEFERONI
Žitne kroglice z čokolado in belo čokolado Nesquik Duo,NESTLE,4.69,0,1.0,g, KOSMIČI IN DRUGA ŽITA ZA ZAJTRK
Polnozrnati keksi Leibniz Zoo,BAHLSEN,1.79,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Grisini z rožmarinom,AMOR DI PANE,1.29,0.99,1.0,g, GRISINI
Lešnikove napolitanke,LOACKER,1.19,0.99,1.0,g, NAPOLITANKE IN VAFLI
Ovsena kaša,BOOM BOX,3.99,0,1.0,g, MÜESLI
Sladoled na palčki,ALIVE,2.99,0,0.001,l, DRUŽINSKI SLADOLEDI
Grški jogurt,FAGE TOTAL,1.89,0,1.0,g, OSTALI JOGURTI
Sadni jogurt LCA jagoda,LCA,1.07,0,1.0,g, SADNI JOGURTI
Narezek piščančje prsi v ovitku,AVE,1.79,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Čokolada,KINDER,2.69,0,1.0,g, ČOKOLADNI IZDELKI IN NAPOLITANKE
Mešani kruh Skorjavc za dopeko doma,PEKARNA GROSUPLJE,3.19,0,1.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Keks,MERCATOR FINESSE,3.49,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
