Ime sestavine,Kolicina,Enota
3-4 srednje veliki krompirji,1,kos
srednje veliki bučki,0.5,kos
olivnega olja,0.5,kos
česna,0.5,kos
kremnega sira (sirni namaz; kremni sir z zelišči ipd.),25.0,g
kisle smetane,70.0,g
svežega timijana (ali 1 žlička posušenega),0.25,kos
sol in mleti poper po okusu,1,kos
feta sira,25.0,g
