Ime sestavine, Kolicina, Enota
jajc , 0.75 , kos
sladkorja , 1.5 , kos
vanilijevega stroka , 0.0625 , kos
gladke moke , 8.75 , g
čokolade v prahu , 0.25 , kos
pasijonk , 0.75 , kos
lističi želatine , 0.375 , kos
temne čokolade , 56.25 , g
sladke smetane , 0.0625 , l
