Ime sestavine,Kolicina,Enota
krpic (lahko tudi kakšne druge kratke testenine),100.0,g
masla (za pekač),0.25,kos
krušnih drobtin (za pekač),0.25,kos
šunke,75.0,g
olja (poljubno),0.25,kos
jajci,0.5,kos
kisle smetane,45.0,g
sol in mleti poper (po okusu),1,kos
sira; ki se dobro topi (edamec; gauda ipd.),25.0,g
