Ime sestavine, Kolicina, Enota
mletega mesa , 125.0 , g
drobtin , 0.5 , kos
jajce , 0.25 , kos
gorčice , 0.375 , kos
nekaj vejic svežega peteršilja , 1 , kos
majhna čebula , 0.25 , kos
sol; mleti poper in česen v prahu (po okusu) , 1 , kos
krompirja , 250.0 , g
sol , 1 , kos
mleta paprika (po želji) , 1 , kos
olja , 0.5 , kos
