Ime sestavine, Kolicina, Enota
slanih palačink , 2.0 , kos
šunke za pico ali šunkarice , 50.0 , g
mocarele , 31.25 , g
trdega sira; ki se dobro topi (gauda; edamec; trapist ipd.) , 25.0 , g
sirnega namaza (mlečni namaz; kremni sir ipd.) , 25.0 , g
mleti poper (po okusu) , 1 , kos
origana , 0.25 , kos
bazilike , 0.25 , kos
jajca , 0.75 , kos
soli , 0.5 , kos
krušnih drobtin , 37.5 , g
masla , 20.0 , g
