Ime sestavine, Kolicina, Enota
mladega krompirja , 250.0 , g
večja rdeča čebula , 0.25 , kos
semen koriandra , 0.0625 , kos
semen kumine , 0.25 , kos
slanine , 25.0 , g
manjši šopek peteršilja , 1 , kos
olivnega olja , 0.0125 , l
balzamičnega kisa , 0.5 , kos
mletega čilija , 0.25 , kos
sol in poper (po okusu) , 1 , kos
