Ime sestavine, Kolicina, Enota
moke , 31.25 , g
pecilnega praška , 0.125 , kos
sode bikarbone , 0.0625 , kos
mletega cimeta , 0.125 , kos
rjavega sladkorja , 15.0 , g
jajci , 0.25 , kos
masla , 10.0 , g
mleka , 0.015 , l
banani , 0.25 , kos
grobo nasekljanih orehov , 7.5 , g
