Ime sestavine, Kolicina, Enota
olja , 0.75 , kos
čebule , 0.25 , kos
česna , 0.5 , kos
večja krompirja , 1.0 , kos
piščančjih prsi , 0.25 , kos
domača vegeta po okusu (ali kombinacija soli; popra in poljubnih začimb) , 1 , kos
svežih šitak , 100.0 , g
