Ime sestavine, Kolicina, Enota
želatine v prahu (10 g) , 0.125 , kos
hladne vode , 0.5 , kos
sladke smetane , 0.0625 , l
mleka , 0.0375 , l
sladkorja , 7.5 , g
vanilijev strok , 0.125 , kos
jagod , 56.25 , g
sladkorja (po okusu) , 8.75 , g
limoninega soka , 0.0625 , kos
vode , 0.25 , kos
