Ime sestavine, Kolicina, Enota
lososovi fileji brez kože , 1.0 , kos
odmrznjene in odcejene špinače , 30.0 , g
kremnega sira , 30.0 , g
sveže naribanega parmezana , 7.5 , g
1-2 stroka česna , 1 , kos
drobno naribana limonina lupinica , 1 , kos
sol in sveže mleti poper , 1 , kos
olivno olje , 1 , kos
limone; narezane na rezine ali kolobarje , 0.125 , kos
