Ime sestavine,Kolicina,Enota
sladke smetane,0.08,l
mleka,0.02,l
sladkorja,10.0,g
listov želatine,1.0,kos
7-9 žlic bezgovega sirupa (po okusu),1,kos
medu,1.0,kos
sok ene limone,1,kos
