Ime sestavine, Kolicina, Enota
1 zvitek pripravljenega kvašenega testa za pico , 1 , kos
pelatov , 0.25 , kos
česna v prahu , 0.25 , kos
čebule v prahu , 0.5 , kos
sol (po okusu) , 1 , kos
delikatesne slanine v kosu , 50.0 , g
olivno olje , 1 , kos
origano , 1 , kos
naribanega sira za pico , 25.0 , g
mocarele v kosu , 25.0 , g
sveža bazilika (po želji) , 1 , kos
rumenjak , 0.25 , kos
smetane za kuhanje , 0.5 , kos
