Ime sestavine, Kolicina, Enota
ovsenih kosmičev , 25.0 , g
sončičnih semen , 12.5 , g
suhih brusnic , 12.5 , g
lanenih semen , 0.25 , kos
nesladkanega arašidovega masla s koščki arašidov , 20.0 , g
medu , 0.75 , kos
soli (po želji) , 0.25 , kos
1/4 žličke mletega cimeta (po želji) , 1 , kos
