Ime sestavine,Kolicina,Enota
olja,0.75,kos
srednje veliki čebuli,0.5,kos
česna,0.5,kos
kosov piščanca s kostmi; a brez kože (bedra; krače; stegna),225.0,g
lovorjev list,0.25,kos
mlete sladke paprike v prahu,0.5,kos
1-2 žlici paradižnikovega koncentrata,1,kos
piščančje jušne osnove,0.075,l
sol in mleti poper (po okusu),1,kos
koruznega škroba,0.125,kos
kisle smetane,37.5,g
sladke smetane (po želji tudi več),0.0125,l
