Ime sestavine,Kolicina,Enota
olivnega olja,0.025,l
mineralne vode,0.025,l
vlečenega testa,125.0,g
skute,125.0,g
grškega jogurta,37.5,g
kisle smetane,25.0,g
jajca,0.75,kos
mleka,0.025,l
sol,1,kos
