Ime sestavine,Kolicina,Enota
1 zavitek svežega listnatega testa v rolici,1,kos
poljubnega kremnega sira,14.0,g
tankih rezin pršuta in/ali bržole,20.0,g
zelene olive in biserne čebulice za dekoracijo (po želji),1,kos
