Ime sestavine,Kolicina,Enota
ješprenja (ješprenova kaša),62.5,g
lovorova lista,0.5,kos
nekaj celih poprovih zrn,1,kos
korenčka,0.5,kos
manjša rumena koleraba,0.25,kos
manjša peteršiljeva korenina,0.25,kos
kos zelene,1,kos
kos pora,1,kos
česna,0.5,kos
rjavega ali belega fižola iz pločevinke,37.5,g
sol; mleti poper; začimbe po želji,1,kos
