Ime sestavine, Kolicina, Enota
mlačnega mleka , 0.08 , l
suhega kvasa , 0.25 , kos
sladkorja , 0.25 , kos
moke , 125.0 , g
soli , 0.25 , kos
stopljenega masla , 37.5 , g
kumonovih semen , 0.25 , kos
sezamovih semen , 0.25 , kos
sol , 1 , kos
