Ime sestavine, Kolicina, Enota
jajc , 0.5 , kos
sladkorja , 8.0 , g
moke , 8.0 , g
nesladkanega kakava v prahu , 2.5 , g
pecilnega praška , 0.05 , kos
vode , 0.025 , l
sladkorja , 10.0 , g
moke , 8.0 , g
koruznega škroba (gustin) , 8.0 , g
mleka , 0.1 , l
sladkorja , 15.0 , g
vanilijevega sladkorja , 0.2 , kos
masla sobne temperature , 25.0 , g
čokolade za kuhanje , 18.0 , g
olja , 0.008 , l
