Ime sestavine, Kolicina, Enota
krompirjev , 1.75 , kos
sol po okusu , 1 , kos
koruznega zdroba (polenta) , 0.25 , kos
očiščenih lignjev (trupi in lovke) , 250.0 , g
belega vina (npr. malvazija) , 0.025 , l
olivnega olja , 0.05 , l
2-3 stroki česna , 1 , kos
svežega peteršilja , 0.0625 , kos
