Ime sestavine, Kolicina, Enota
olja , 1.0 , kos
piščančjega fileja , 125.0 , g
večji korenček , 0.25 , kos
srednja velika čebula , 0.25 , kos
česna , 0.25 , kos
šampinjonov (v sezoni lahko upprabimo tudi lisičke; jurčke; kostanjevke ipd.) , 75.0 , g
ajdove kaše , 62.5 , g
suhega belega vina , 0.03 , l
voda ali jušna osnova (približno 800 ml) , 1 , kos
timijan , 1 , kos
sol in mleti poper po okusu , 1 , kos
nasekljan svež peteršilj (po želji) , 1 , kos
