Ime sestavine, Kolicina, Enota
fužev , 100.0 , g
olivnega olja , 0.25 , kos
pancete (lahko tudi istrski pršut) , 25.0 , g
sladke smetane , 0.0625 , l
1-2 žlici tartufate (po okusu) , 1 , kos
sol in mleti poper po okusu , 1 , kos
