Ime sestavine,Kolicina,Enota
masla,0.25,kos
8-10 manjših marelic,1,kos
rjavega sladkorja,0.75,kos
vanilin sladkorja,0.25,kos
konjak za flambiranje (lahko tudi brandy),1,kos
zdrobljenih piškotov,0.75,kos
mascarpone sira,0.75,kos
zdrobljenih bučnih semen,0.5,kos
malo svežega timijana,1,kos
medu,0.25,kos
poljubni sladoled,1,kos
sladoleda,1.0,kos
