Ime sestavine, Kolicina, Enota
ohlajene sladke smetane , 0.03 , l
bio pomaranča , 0.25 , kos
rumenjaki , 1.0 , kos
sladkorja + 2 žlici , 12.5 , g
soli , 0.25 , kos
kakovostne čokolade (60 % kakava) , 42.5 , g
beljaka , 0.5 , kos
