Ime sestavine,Kolicina,Enota
rumenjaki,1.0,kos
sladkorja,12.5,g
vanilijevega slakorja,0.25,kos
zmehčanega; na sobno temperaturo ogretega masla,40.0,g
koruznega škroba,80.0,g
pecilnega praška,1.0,kos
naribana lupinice ene (bio) limone,1,kos
ruma (po želji),0.125,kos
dulche de leche (laho tudi čokoladni namaz; vanilijeva krema; limonina krema ipd.),75.0,g
