Ime sestavine, Kolicina, Enota
vode , 0.1 , l
soli , 0.0625 , kos
masla , 7.5 , g
instant koruznega zdroba (polenta) , 50.0 , g
manjše jajce , 0.25 , kos
koruzne moke , 12.5 , g
olivnega olja , 0.5 , kos
šalotka , 0.25 , kos
česna , 0.75 , kos
posušenih paradižnikov v olju , 12.5 , g
kokošje osnove (ali voda) , 0.05 , l
smetane za kuhanje , 0.05 , l
mlade špinače , 12.5 , g
sveže naribanega parmezana , 7.5 , g
sveža bazilika (po želji) , 1 , kos
