Ime sestavine,Kolicina,Enota
tune v olju ali slanici,40.0,g
majhne kisle kumarice,1.0,kos
majoneze,0.5,kos
vložene koruze (po želji),0.5,kos
šalotka (¼ bele ali rdeče čebule),0.25,kos
sveže mleti poper (po okusu),1,kos
naribane mocarele,12.5,g
poljubnega kruha,1.0,kos
masla,0.25,kos
sira; ki se dobro topi (edamec; gauda; čedar; grojer ipd.),1.0,kos
