Ime sestavine, Kolicina, Enota
piščančjih medaljonov , 125.0 , g
sol in mleti poper , 1 , kos
olja , 0.375 , kos
masla , 7.5 , g
posušeni timijan (po okusu) , 1 , kos
piščančje jušne osnove , 0.0375 , l
sladke smetane , 0.0625 , l
gorčice (po želji tudi več) , 0.25 , kos
