Ime sestavine, Kolicina, Enota
pinjol , 10.0 , g
parmezana v kosu , 10.0 , g
čemaževih listov , 31.25 , g
olivnega olja , 0.01 , l
soli , 0.03125 , kos
sveže mletega popra , 0.25 , kos
