Ime sestavine, Kolicina, Enota
svežega kvasa , 5.0 , g
toplega mleka , 0.0375 , l
sladkorja , 0.125 , kos
gladke moke , 100.0 , g
soli , 0.125 , kos
pecilni prašek , 0.125 , kos
jajce , 0.125 , kos
tekočega jogurta (pred uporabo ga ogrejemo na sobno temperaturo) , 0.025 , l
masla za premaz , 25.0 , g
jajce za premaz , 0.125 , kos
1-2 žlici mleka za premaz , 1 , kos
sol za posip (po želji) , 1 , kos
poljubna semena za posip (sezam; mak; sončnična semena; bučna semena; ipd.) , 1 , kos
