Ime sestavine,Kolicina,Enota
polnomastnega mleka,0.0875,l
sladke smetane,0.0625,l
veliki rumenjaki,0.75,kos
koruznega škroba,0.5,kos
drobnega rjavega sladkorja (npr. muscovado),37.5,g
vode,0.75,kos
soli,0.0625,kos
zmehčanega; na sobno temperaturo ogretega masla,12.5,g
vanilijeve paste,0.25,kos
ruma ali burbona (po želji),0.25,kos
stepena sladka smetana,1,kos
mehki karamelni bonboni,1,kos
