Ime sestavine,Kolicina,Enota
olja,0.25,kos
mlete svinjine,87.5,g
česna,0.25,kos
mlete kumine,0.25,kos
čebula,0.25,kos
velika pora,0.5,kos
zelenjavne jušne osnove,0.25,l
topljenega sira,50.0,g
sladka smetana (po želji),1,kos
sol in mleti poper,1,kos
