Ime sestavine, Kolicina, Enota
zamrznjena banana; narezana na kolobarje , 1.0 , kos
lešnikovega masla , 2.0 , kos
nesladkanega kakava v prahu , 1.0 , kos
mandljevega ali kakšnega drugega rastlinskega mleka , 0.5 , kos
izkoščičena datlja , 2.0 , kos
mletega cimeta , 0.25 , kos
banane , 0.5 , kos
grobo nasekljanih lešnikov , 1.0 , kos
nastrgane čokolade , 1.0 , kos
sezamovih semen , 0.5 , kos
kokosovega čipsa , 1.0 , kos
